Datum;Timestamp;Schlusskurs
13.03.2002;1015977600;0.8744
14.03.2002;1016064000;0.8813
15.03.2002;1016150400;0.8832
18.03.2002;1016409600;0.8804
19.03.2002;1016496000;0.8837
20.03.2002;1016582400;0.8795
21.03.2002;1016668800;0.8844
22.03.2002;1016755200;0.8801
25.03.2002;1017014400;0.8781
26.03.2002;1017100800;0.8761
27.03.2002;1017187200;0.8759
28.03.2002;1017273600;0.872
29.03.2002;1017360000;0.872
01.04.2002;1017619200;0.872
02.04.2002;1017705600;0.8784
03.04.2002;1017792000;0.879
04.04.2002;1017878400;0.8811
05.04.2002;1017964800;0.8791
08.04.2002;1018224000;0.8774
09.04.2002;1018310400;0.876
10.04.2002;1018396800;0.8814
11.04.2002;1018483200;0.8807
12.04.2002;1018569600;0.8807
15.04.2002;1018828800;0.8814
16.04.2002;1018915200;0.8803
17.04.2002;1019001600;0.8874
18.04.2002;1019088000;0.8903
19.04.2002;1019174400;0.8912
22.04.2002;1019433600;0.8896
23.04.2002;1019520000;0.8873
24.04.2002;1019606400;0.8894
25.04.2002;1019692800;0.8953
26.04.2002;1019779200;0.8967
29.04.2002;1020038400;0.904
30.04.2002;1020124800;0.9014
01.05.2002;1020211200;0.9014
02.05.2002;1020297600;0.9051
03.05.2002;1020384000;0.9053
06.05.2002;1020643200;0.9147
07.05.2002;1020729600;0.9148
08.05.2002;1020816000;0.9101
09.05.2002;1020902400;0.9057
10.05.2002;1020988800;0.9135
13.05.2002;1021248000;0.9154
14.05.2002;1021334400;0.9062
15.05.2002;1021420800;0.9029
16.05.2002;1021507200;0.9117
17.05.2002;1021593600;0.9141
20.05.2002;1021852800;0.9207
21.05.2002;1021939200;0.9201
22.05.2002;1022025600;0.9242
23.05.2002;1022112000;0.926
24.05.2002;1022198400;0.9177
27.05.2002;1022457600;0.9212
28.05.2002;1022544000;0.9268
29.05.2002;1022630400;0.9287
30.05.2002;1022716800;0.9365
31.05.2002;1022803200;0.9377
03.06.2002;1023062400;0.9318
04.06.2002;1023148800;0.9437
05.06.2002;1023235200;0.9375
06.06.2002;1023321600;0.9375
07.06.2002;1023408000;0.9456
10.06.2002;1023667200;0.9443
11.06.2002;1023753600;0.9468
12.06.2002;1023840000;0.9482
13.06.2002;1023926400;0.9404
14.06.2002;1024012800;0.9454
17.06.2002;1024272000;0.944
18.06.2002;1024358400;0.9477
19.06.2002;1024444800;0.9559
20.06.2002;1024531200;0.9586
21.06.2002;1024617600;0.9652
24.06.2002;1024876800;0.9783
25.06.2002;1024963200;0.9705
26.06.2002;1025049600;0.9887
27.06.2002;1025136000;0.986
28.06.2002;1025222400;0.9919
01.07.2002;1025481600;0.9923
02.07.2002;1025568000;0.9826
03.07.2002;1025654400;0.9795
04.07.2002;1025740800;0.9759
05.07.2002;1025827200;0.9746
08.07.2002;1026086400;0.9856
09.07.2002;1026172800;0.989
10.07.2002;1026259200;0.9944
11.07.2002;1026345600;0.9872
12.07.2002;1026432000;0.989
15.07.2002;1026691200;0.9962
16.07.2002;1026777600;1.0129
17.07.2002;1026864000;1.0086
18.07.2002;1026950400;1.0057
19.07.2002;1027036800;1.0139
22.07.2002;1027296000;1.0111
23.07.2002;1027382400;0.9909
24.07.2002;1027468800;0.9905
25.07.2002;1027555200;1.0008
26.07.2002;1027641600;1.0009
29.07.2002;1027900800;0.9814
30.07.2002;1027987200;0.9814
31.07.2002;1028073600;0.9794
01.08.2002;1028160000;0.9736
02.08.2002;1028246400;0.9868
05.08.2002;1028505600;0.9849
06.08.2002;1028592000;0.9672
07.08.2002;1028678400;0.9674
08.08.2002;1028764800;0.97
09.08.2002;1028851200;0.9724
12.08.2002;1029110400;0.9724
13.08.2002;1029196800;0.9775
14.08.2002;1029283200;0.9874
15.08.2002;1029369600;0.9759
16.08.2002;1029456000;0.9812
19.08.2002;1029715200;0.9831
20.08.2002;1029801600;0.9802
21.08.2002;1029888000;0.9808
22.08.2002;1029974400;0.9773
23.08.2002;1030060800;0.9684
26.08.2002;1030320000;0.9704
27.08.2002;1030406400;0.9753
28.08.2002;1030492800;0.9805
29.08.2002;1030579200;0.9855
30.08.2002;1030665600;0.9853
02.09.2002;1030924800;0.9824
03.09.2002;1031011200;0.9874
04.09.2002;1031097600;0.9939
05.09.2002;1031184000;0.9978
06.09.2002;1031270400;0.9919
09.09.2002;1031529600;0.9802
10.09.2002;1031616000;0.9765
11.09.2002;1031702400;0.9749
12.09.2002;1031788800;0.9767
13.09.2002;1031875200;0.9812
16.09.2002;1032134400;0.9682
17.09.2002;1032220800;0.9616
18.09.2002;1032307200;0.9727
19.09.2002;1032393600;0.9797
20.09.2002;1032480000;0.9842
23.09.2002;1032739200;0.9853
24.09.2002;1032825600;0.977
25.09.2002;1032912000;0.9826
26.09.2002;1032998400;0.9797
27.09.2002;1033084800;0.9787
30.09.2002;1033344000;0.9855
01.10.2002;1033430400;0.9879
02.10.2002;1033516800;0.9823
03.10.2002;1033603200;0.988
04.10.2002;1033689600;0.9865
07.10.2002;1033948800;0.9798
08.10.2002;1034035200;0.9804
09.10.2002;1034121600;0.9797
10.10.2002;1034208000;0.9921
11.10.2002;1034294400;0.9873
14.10.2002;1034553600;0.9882
15.10.2002;1034640000;0.9838
16.10.2002;1034726400;0.9807
17.10.2002;1034812800;0.9779
18.10.2002;1034899200;0.972
21.10.2002;1035158400;0.9755
22.10.2002;1035244800;0.9758
23.10.2002;1035331200;0.979
24.10.2002;1035417600;0.9738
25.10.2002;1035504000;0.9779
28.10.2002;1035763200;0.9741
29.10.2002;1035849600;0.9836
30.10.2002;1035936000;0.9834
31.10.2002;1036022400;0.9869
01.11.2002;1036108800;0.9909
04.11.2002;1036368000;0.9952
05.11.2002;1036454400;1.0028
06.11.2002;1036540800;0.996
07.11.2002;1036627200;1.0015
08.11.2002;1036713600;1.01
11.11.2002;1036972800;1.0143
12.11.2002;1037059200;1.0112
13.11.2002;1037145600;1.0077
14.11.2002;1037232000;1.0072
15.11.2002;1037318400;1.0045
18.11.2002;1037577600;1.0094
19.11.2002;1037664000;1.0096
20.11.2002;1037750400;1.0021
21.11.2002;1037836800;1.0019
22.11.2002;1037923200;1.003
25.11.2002;1038182400;0.995
26.11.2002;1038268800;0.991
27.11.2002;1038355200;0.992
28.11.2002;1038441600;0.9928
29.11.2002;1038528000;0.9937
02.12.2002;1038787200;0.9932
03.12.2002;1038873600;0.9966
04.12.2002;1038960000;1.0015
05.12.2002;1039046400;1.0001
06.12.2002;1039132800;1.0008
09.12.2002;1039392000;1.0108
10.12.2002;1039478400;1.0133
11.12.2002;1039564800;1.0087
12.12.2002;1039651200;1.0134
13.12.2002;1039737600;1.0249
16.12.2002;1039996800;1.0216
17.12.2002;1040083200;1.0319
18.12.2002;1040169600;1.0269
19.12.2002;1040256000;1.0267
20.12.2002;1040342400;1.0246
23.12.2002;1040601600;1.031
24.12.2002;1040688000;1.031
25.12.2002;1040774400;1.031
26.12.2002;1040860800;1.031
27.12.2002;1040947200;1.0386
30.12.2002;1041206400;1.0425
31.12.2002;1041292800;1.0425
01.01.2003;1041379200;1.0425
02.01.2003;1041465600;1.0474
03.01.2003;1041552000;1.0357
06.01.2003;1041811200;1.0472
07.01.2003;1041897600;1.0408
08.01.2003;1041984000;1.0407
09.01.2003;1042070400;1.0523
10.01.2003;1042156800;1.0519
13.01.2003;1042416000;1.0543
14.01.2003;1042502400;1.0583
15.01.2003;1042588800;1.0519
16.01.2003;1042675200;1.0573
17.01.2003;1042761600;1.066
20.01.2003;1043020800;1.0659
21.01.2003;1043107200;1.0663
22.01.2003;1043193600;1.0696
23.01.2003;1043280000;1.0766
24.01.2003;1043366400;1.0777
27.01.2003;1043625600;1.0878
28.01.2003;1043712000;1.0797
29.01.2003;1043798400;1.088
30.01.2003;1043884800;1.0758
31.01.2003;1043971200;1.0819
03.02.2003;1044230400;1.0716
04.02.2003;1044316800;1.0797
05.02.2003;1044403200;1.0919
06.02.2003;1044489600;1.0797
07.02.2003;1044576000;1.0756
10.02.2003;1044835200;1.0805
11.02.2003;1044921600;1.0678
12.02.2003;1045008000;1.0761
